Distância (x Raio Buraco Negro);Distância Real (m);Tempo Perto do Buraco Negro (s);Tempo na Terra (s);Diferença de Tempo (s);Fator de Dilatação do Tempo
1,0001;19198625654033,05;1;100,0;99,005;100,005
1,0102;19392512384465,74;1;9,95;8,9518;9,9518
1,0203;19586399114898,43;1;7,09;6,0895;7,0895
1,0304;19780285845331,12;1;5,82;4,8219;5,8219
1,0405;19974172575763,81;1;5,07;4,0687;5,0687
1,0506;20168059306196,5;1;4,56;3,5566;4,5566
1,0607;20361946036629,19;1;4,18;3,1802;4,1802
1,0708;20555832767061,88;1;3,89;2,889;3,889
1,0809;20749719497494,58;1;3,66;2,6553;3,6553
1,091;20943606227927,26;1;3,46;2,4625;3,4625
1,1011;21137492958359,96;1;3,3;2,3002;3,3002
1,1112;21331379688792,64;1;3,16;2,1611;3,1611
1,1213;21525266419225,34;1;3,04;2,0404;3,0404
1,1314;21719153149658,03;1;2,93;1,9343;2,9343
1,1415;21913039880090,72;1;2,84;1,8403;2,8403
1,1516;22106926610523,4;1;2,76;1,7561;2,7561
1,1617;22300813340956,1;1;2,68;1,6804;2,6804
1,1718;22494700071388,79;1;2,61;1,6117;2,6117
1,1819;22688586801821,48;1;2,55;1,549;2,549
1,192;22882473532254,17;1;2,49;1,4917;2,4917
1,2021;23076360262686,86;1;2,44;1,4389;2,4389
1,2122;23270246993119,55;1;2,39;1,3901;2,3901
1,2223;23464133723552,24;1;2,34;1,3449;2,3449
1,2324;23658020453984,94;1;2,3;1,3028;2,3028
1,2425;23851907184417,62;1;2,26;1,2636;2,2636
1,2526;24045793914850,31;1;2,23;1,2268;2,2268
1,2627;24239680645283,0;1;2,19;1,1924;2,1924
1,2728;24433567375715,7;1;2,16;1,16;2,16
1,2829;24627454106148,38;1;2,13;1,1295;2,1295
1,293;24821340836581,08;1;2,1;1,1007;2,1007
1,3031;25015227567013,76;1;2,07;1,0735;2,0735
1,3132;25209114297446,46;1;2,05;1,0476;2,0476
1,3233;25403001027879,14;1;2,02;1,0231;2,0231
1,3334;25596887758311,84;1;2,0;0,9999;1,9999
1,3435;25790774488744,52;1;1,98;0,9777;1,9777
